"count","bot","edit_ts"
"696",false,"13:56"
"795",false,"13:57"
"848",false,"13:58"
"861",false,"13:59"
"837",false,"14:00"
"824",false,"14:01"
"756",false,"14:02"
"849",false,"14:03"
"710",false,"14:04"
"883",false,"14:05"
"865",false,"14:06"
"896",false,"14:07"
"862",false,"14:08"
"1009",false,"14:09"
"783",false,"14:10"
"814",false,"14:11"
"729",false,"14:12"
"758",false,"14:13"
"845",false,"14:14"
"902",false,"14:15"
"870",false,"14:16"
"829",false,"14:17"
"838",false,"14:18"
"770",false,"14:19"
"747",false,"14:20"
"804",false,"14:21"
"714",false,"14:22"
"810",false,"14:23"
"791",false,"14:24"
"692",false,"14:25"
"676",false,"14:26"
"741",false,"14:27"
"624",false,"14:28"
"724",false,"14:29"
"647",false,"14:30"
"686",false,"14:31"
"660",false,"14:32"
"57",false,"14:33"
"311",true,"13:56"
"419",true,"13:57"
"502",true,"13:58"
"514",true,"13:59"
"541",true,"14:00"
"760",true,"14:01"
"651",true,"14:02"
"591",true,"14:03"
"483",true,"14:04"
"525",true,"14:05"
"483",true,"14:06"
"578",true,"14:07"
"444",true,"14:08"
"455",true,"14:09"
"400",true,"14:10"
"590",true,"14:11"
"600",true,"14:12"
"660",true,"14:13"
"636",true,"14:14"
"659",true,"14:15"
"646",true,"14:16"
"646",true,"14:17"
"722",true,"14:18"
"652",true,"14:19"
"530",true,"14:20"
"633",true,"14:21"
"418",true,"14:22"
"596",true,"14:23"
"879",true,"14:24"
"819",true,"14:25"
"868",true,"14:26"
"661",true,"14:27"
"760",true,"14:28"
"794",true,"14:29"
"618",true,"14:30"
"555",true,"14:31"
"519",true,"14:32"
"80",true,"14:33"