"bot","wiki","username","cnt"
true,"arwiki","JarBot","1092"
true,"wikidatawiki","Research Bot","472"
true,"wikidatawiki","BotMultichill","411"
true,"wikidatawiki","SuccuBot","333"
true,"wikidatawiki","Edoderoobot","257"
true,"wikidatawiki","Mr.Ibrahembot","255"
true,"rowiki","Andrebot","220"
true,"commonswiki","SchlurcherBot","216"
true,"commonswiki","KolbertBot","207"
false,"commonswiki","Thesupermat","193"
true,"cebwiki","Lsjbot","192"
false,"commonswiki","Sakhalinio","136"
false,"trwiki","Teacher0691","73"
false,"commonswiki","StellarD","72"
false,"enwiki","Molestash","61"
false,"wikidatawiki","Drupol","57"
false,"frwiktionary","Arpyia","49"
false,"elwiki","ΖῷονΠολιτικόν","48"
false,"commonswiki","Zinneke","46"
false,"hrwiki","Kubura","41"